Name,200% Ult. Date in JP,200% Ultimate,Attributes,Blessing of the Lantern,BotL Date in GL,BotL Date in JP,Class,Class Breakthrough,Class Breakthrough Date in GL,Class Breakthrough Date in JP,Continent,Crit,Crit (Lv. 120),E.Atk,E.Atk (Lv. 120),E.Def,E.Def (Lv. 120),GL Release Date,GL Score,GL Tier,General pool,HP,HP (Lv. 120),Influence,JP Release Date,JP Tier,JP game8 Score,Japanese Name,Job,Location,Obtained from,P.Atk,P.Atk (Lv. 120),P.Def,P.Def (Lv. 120),SP,SP (Lv. 120),Spd,Spd (Lv. 120),Ultimate Priority,Weakness to hit
Fiore,6-Jan-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Sword.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dark.png",Available in GL,16-Jan-25,14-Sep-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,24-Jul-25,9-May-24,Orsterra,333,383,237,287,241,291,27-Jul-22,5.08,C,Yes,3222,4042,Fame,28-Oct-20,E,9.1,フィオル,Warrior,Rippletide,Chance Encounters,404,469,343,408,286,356,310,345,Leave it at U Lv9,"Dark, Sword"
Viola,27-Feb-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dagger.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire.png",Available in GL,16-Jan-25,28-Sep-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,24-Jul-25,12-Sep-24,Orsterra,338,388,251,301,253,303,27-Jul-22,6.73,B,Yes,2892,3712,Wealth,28-Oct-20,B,9.5,ヴィオラ,Thief,Sunshade,Chance Encounters,373,438,280,300,322,402,435,500,Leave it at U Lv9,"Dagger, Fire"
Sofia,8-May-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Tome.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Ice.png",Available in GL,16-Jan-25,31-Aug-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,18-Jul-24,Orsterra,246,296,389,454,335,385,27-Jul-22,4.96,D,Yes,2896,3556,Wealth,28-Oct-20,D,9.2,ソフィア,Scholar,Emberglow,Chance Encounters,231,281,291,341,562,652,283,333,Leave it at U Lv9,"Ice, Tome"
Gilderoy,16-Jan-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder.png",Available in GL,16-Jan-25,4-Aug-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,24-Jul-25,12-Sep-24,Orsterra,251,286,280,330,300,350,27-Jul-22,4.92,D,Yes,3528,4428,Power,28-Oct-20,C,9.4,ギルデロイ,Merchant,Clearbrook,Chance Encounters,354,419,363,413,322,402,208,243,U Lv10 before A1,"Lightning, Polearm"
Scarecrow,24-Oct-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Bow.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind.png",Available in GL,16-Jan-25,22-Jun-23,⭐️⭐️⭐️⭐️⭐️,Available in JP,,11-Apr-24,Orsterra,410,475,230,280,263,283,27-Jul-22,4.52,D,Yes,3072,3892,Fame,28-Oct-20,E,9,スケアクロウ,Hunter,Sheperd's Rock,Chance Encounters,377,442,223,273,376,456,345,395,Leave it at U Lv9,"Bow, Wind"
Lynette,27-Mar-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fan.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Fire%201.png",Available in GL,16-Jan-25,4-Aug-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,16-Jan-25,28-Mar-24,Orsterra,272,307,402,467,342,392,27-Jul-22,7.14,A,Yes,2786,3606,Power,28-Oct-20,B,9.6,リネット,Dancer,Cragspear,Chance Encounters,250,300,240,290,499,569,342,407,U Lv10 Game Changer,"Fan, Fire"
Millard,19-Jun-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Staff_Staves.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Light.png",Available in GL,16-Jan-25,21-Dec-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,16-Jan-25,21-Dec-23,Orsterra,278,313,365,430,419,484,27-Jul-22,3.12,E,Yes,2772,3512,Fame,28-Oct-20,D,9.2,ミロード,Cleric,Valore,Chance Encounters,251,301,292,342,420,500,296,346,Ultimate not worth,"Light, Staff"
Theo,27-Feb-25,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Axe.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Lightning_Thunder%201.png",Available in GL,16-Jan-25,17-Aug-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,16-Jan-25,29-Feb-24,Orsterra,208,258,306,371,238,288,27-Jul-22,4.67,D,Yes,3230,4050,Power,28-Oct-20,C,9.4,テオ,Apothecary,Theatropolis,Chance Encounters,350,400,397,447,418,488,286,336,Ultimate not worth,"Axe, Lightning"
Tressa,7-Nov-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Spear_Polearm%201.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%201.png",Available in GL,23-Jan-25,13-Jul-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,23-Jan-25,12-Oct-23,Orsterra,241,276,360,410,285,335,27-Jul-22,5.78,C,Yes,3080,3980,Wealth,1-Jan-21,C,9.4,トレサ,Merchant,Rippletide,Chance Encounters,384,449,333,383,357,437,240,275,Leave it at U Lv9,"Polearm, Wind"
Heathcote,5-Dec-24,Available in JP,"Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Dagger%201.png, Character%20List%202dd50eb0e188493fbecee1f55b8691c2/Wind%202.png",Available in GL,15-May-25,20-Jul-23,⭐️⭐️⭐️⭐️⭐️,Available in GL,15-May-25,11-Apr-24,Orsterra,343,393,286,336,253,303,3-Aug-22,2.85,E,Yes,2822,3642,Power,12-Nov-20,E,9.1,ヒースコート,Thief,Cragspear,Chance Encounters,348,413,280,300,342,422,420,485,Ultimate not worth,"Dagger, Wind"
